,main_category,goal,pledged
0,Art,15008592.0,4048634.05
1,Comics,3377287.0,1907053.3200000005
2,Crafts,3853799.0,575517.91
3,Dance,1380987.0,371476.92999999993
4,Design,56573200.0,19622254.17
5,Fashion,23386718.0,4861199.139999998
6,Film & Video,315520672.0,13814021.079999989
7,Food,140712116.0,3014340.56
8,Games,78161460.0,32784579.59000002
9,Journalism,8388530.0,525847.0199999999
10,Music,19272528.0,5430838.57
11,Photography,7121856.0,2492823.4699999997
12,Publishing,21421520.0,5796008.459999997
13,Technology,148886660.0,25153242.279999994
14,Theater,8588911.0,2704576.81
