country,migrants
Burundi,344767
Comoros,12496
Djibouti,119738
Eritrea,13934
Ethiopia,1085517
Kenya,1050147
Madagascar,35563
Malawi,191362
Mauritius,28893
Mayotte,111540
Mozambique,338850
R̩union,131769
Rwanda,513907
Seychelles,13050
Somalia,58590
South Sudan,882252
Uganda,1720313
"Tanzania, United Republic of",426017
Zambia,187955
Zimbabwe,416141
Angola,656434
Cameroon,579209
Central African Republic,88546
Chad,547494
Congo,387606
"Congo, Democratic Republic of the",952871
Equatorial Guinea,230618
Gabon,416651
Sao Tome and Principe,2139
Algeria,250378
Egypt,543937
Libya,826537
Morocco,102358
Sudan,1379147
Tunisia,60145
Western Sahara,5424
Botswana,110268
Eswatini,32858
Lesotho,12060
Namibia,109391
South Africa,2860495
Benin,394276
Burkina Faso,723989
Cabo Verde,15788
C̫te d'Ivoire,2564857
Gambia,215659
Ghana,476412
Guinea,121437
Guinea-Bissau,17945
Liberia,87947
Mali,485829
Mauritania,182286
Niger,348056
Nigeria,1308568
"Saint Helena, Ascension and Tristan da Cunha",NaN
Senegal,274929
Sierra Leone,53746
Togo,279936
Kazakhstan,3732073
Kyrgyzstan,199011
Tajikistan,276031
Turkmenistan,194920
Uzbekistan,1162007
China,1039675
Hong Kong,2962492
Macao,403490
"Taiwan, Province of China",NaN
Korea (Democratic People's Republic of),49549
Japan,2770996
Mongolia,21345
"Korea, Republic of",1728182
Brunei Darussalam,111959
Cambodia,79341
Indonesia,355505
Lao People's Democratic Republic,48731
Malaysia,3476560
Myanmar,76446
Philippines,225525
Singapore,2523648
Thailand,3632496
Timor-Leste,8399
Viet Nam,76767
Afghanistan,144098
Bangladesh,2115408
Bhutan,53612
India,4878704
Iran (Islamic Republic of),2797235
Maldives,70079
Nepal,487564
Pakistan,3276580
Sri Lanka,40254
Armenia,190349
Azerbaijan,252228
Bahrain,936094
Cyprus,190366
Georgia,79368
Iraq,365766
Israel,1953575
Jordan,3457691
Kuwait,3110159
Lebanon,1712762
Oman,2372836
Qatar,2226192
Saudi Arabia,13454842
"Palestine, State of",272784
Syrian Arab Republic,868711
Turkey,6052652
United Arab Emirates,8716332
Yemen,387113
Belarus,1067090
Bulgaria,184363
Czechia,540921
Hungary,584567
Poland,817254
"Moldova, Republic of",104438
Romania,705310
Russian Federation,11636911
Slovakia,197161
Ukraine,4997387
Denmark,717574
Estonia,199277
Faroe Islands,6812
Finland,386052
Iceland,65424
Ireland,871256
Isle of Man,43040
Latvia,239422
Lithuania,145184
Norway,852238
Sweden,2003908
United Kingdom of Great Britain and Northern Ireland,9359587
Albania,48810
Andorra,45574
Bosnia and Herzegovina,36042
Croatia,528056
Gibraltar,11190
Greece,1340456
Holy See,NaN
Italy,6386998
Malta,114760
Montenegro,70999
North Macedonia,131311
Portugal,1001963
San Marino,5543
Serbia,823011
Slovenia,277964
Spain,6842202
Austria,1738183
Belgium,2005479
France,8524876
Germany,15762457
Liechtenstein,25877
Luxembourg,298062
Monaco,26601
Netherlands,2358333
Switzerland,2491249
Anguilla,5715
Antigua and Barbuda,29386
Aruba,53593
Bahamas,63583
Barbados,34869
"Bonaire, Sint Eustatius and Saba",NaN
Virgin Islands (British),22164
Cayman Islands,29242
Cuba,3024
Cura̤ao,57210
Dominica,8284
Dominican Republic,603794
Grenada,7213
Guadeloupe,90206
Haiti,18884
Jamaica,23629
Martinique,68624
Montserrat,1379
Puerto Rico,247132
Saint Barth̩lemy,NaN
Saint Kitts and Nevis,7725
Saint Lucia,8338
Saint Martin (French part),NaN
Saint Vincent and the Grenadines,4738
Sint Maarten (Dutch part),28845
Trinidad and Tobago,78849
Turks and Caicos Islands,25748
Virgin Islands (U.S.),56753
Belize,62043
Costa Rica,520729
El Salvador,42767
Guatemala,84311
Honduras,39195
Mexico,1197624
Nicaragua,42167
Panama,313165
Argentina,2281728
Bolivia (Plurinational State of),164121
Brazil,1079708
Chile,1645015
Colombia,1905393
Ecuador,784787
Falkland Islands (Malvinas),1957
French Guiana,119249
Guyana,31169
Paraguay,169567
Peru,1224519
Suriname,47801
Uruguay,108267
Venezuela (Bolivarian Republic of),1324193
Bermuda,19739
Canada,8049323
Greenland,5899
Saint Pierre and Miquelon,998
United States of America,50632836
Australia,7685860
New Zealand,1381724
Fiji,14087
New Caledonia,73141
Papua New Guinea,31068
Solomon Islands,2520
Vanuatu,3257
Guam,80472
Kiribati,3126
Marshall Islands,3298
Micronesia (Federated States of),2832
Nauru,2201
Northern Mariana Islands,21843
Palau,5088
American Samoa,23608
Cook Islands,4579
French Polynesia,30081
Niue,588
Samoa,4021
Tokelau,1238
Tonga,3742
Tuvalu,239
Wallis and Futuna,2040
